testdir,nranks,epcnt,epsz,wrsz,blksz,access,bw(MiB/s),IOPS,Latency(s),block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),iter
/mnt/lt20ad2/fio-jobdir,512,6,372,2232M,1m,write,2022.37,2022.38,0.180116,2285568,1024.00,0.025486,565.07,348.40,565.07,0,
/mnt/lt20ad2/fio-jobdir,512,9,372,3348M,1m,
/mnt/lt20ad2/fio-jobdir,512,12,372,4464M,1m,WARNING:,Task,429,,partial,write(),,397312,of,1048576,bytes,at,offset,3921674240
/mnt/lt20ad2/fio-jobdir,16,1,372,372M,1m,write,253.82,253.83,0.006489,380928,1024.00,0.008163,23.45,22.17,23.45,0,
/mnt/lt20ad2/fio-jobdir,16,3,372,1116M,1m,
/mnt/lt20ad2/fio-jobdir,16,6,372,2232M,1m,write,2821.78,2822.05,0.005526,2285568,1024.00,0.008948,12.65,0.437780,12.66,0,
/mnt/lt20ad2/fio-jobdir,16,9,372,3348M,1m,write,1893.29,1893.40,0.005089,3428352,1024.00,0.007566,28.29,11.37,28.29,0,
/mnt/lt20ad2/fio-jobdir,16,12,372,4464M,1m,write,1548.28,1548.34,0.009330,4571136,1024.00,0.014587,46.13,18.02,46.13,0,
/mnt/lt20ad2/fio-jobdir,64,1,372,372M,1m,write,1730.50,1730.65,0.008859,380928,1024.00,0.006920,13.76,10.92,13.76,0,
/mnt/lt20ad2/fio-jobdir,64,3,372,1116M,1m,
/mnt/lt20ad2/fio-jobdir,64,6,372,2232M,1m,write,1760.00,1760.03,0.027681,2285568,1024.00,0.007659,81.16,64.33,81.16,0,
/mnt/lt20ad2/fio-jobdir,64,9,372,3348M,1m,write,1910.71,1910.73,0.012903,3428352,1024.00,0.010118,112.14,91.91,112.14,0,
/mnt/lt20ad2/fio-jobdir,64,12,372,4464M,1m,write,1779.46,1779.48,0.027803,4571136,1024.00,0.011560,160.55,123.17,160.55,0,
/mnt/lt20ad2/fio-jobdir,512,1,372,372M,1m,write,1960.18,1960.21,0.112693,380928,1024.00,0.014022,97.17,80.89,97.17,0,
/mnt/lt20ad2/fio-jobdir,512,3,372,1116M,1m,write,2041.57,2041.58,0.220917,1142784,1024.00,0.018883,279.88,171.16,279.88,0,
/mnt/lt20ad2/fio-jobdir,512,6,372,2232M,1m,write,2245.75,2245.77,0.218604,2285568,1024.00,0.024925,508.86,263.64,508.87,0,
/mnt/lt20ad2/fio-jobdir,512,9,372,3348M,1m,
